FID,ap_lp,apn,number_of_,objectid,shape_area,shape_leng,situs_city,situs_hous,situs_ho_2,situs_stat,situs_stre,situs_st_2,situs_st_3,situs_unit,situs_zip_,tax_rate_a
6,LP,12427015,1.000000000000000,242222.000000000000000,1107.169300242110012,153.622285778074797,PALO ALTO,261,,CA,,STANFORD,AV,,94306-1145,6001.000000000000000
38,LP,49701008,2.000000000000000,150114.000000000000000,8983.603770422911111,411.524563206311200,SAN JOSE,132,,CA,,RANCHO,DR,,95111-3473,17038.000000000000000
39,LP,14716083,1.000000000000000,242210.000000000000000,890.292106532187518,128.843954202870862,MOUNTAIN VIEW,353,,CA,,ALDEAN,AV,,94043-4102,5010.000000000000000
58,LP,67837074,1.000000000000000,168038.000000000000000,1032.337210425902413,141.613842619114308,SAN JOSE,5543,,CA,,CENTURY MANOR,CT,,95111-1808,17064.000000000000000
68,LP,12411024,1.000000000000000,154242.000000000000000,1071.187080356794013,137.790670199853338,PALO ALTO,2398,,CA,,WAVERLEY,ST,,94301-4143,6001.000000000000000
73,LP,43427032,1.000000000000000,390220.000000000000000,1482.704248623072090,186.470672794550467,SAN JOSE,1545,,CA,,MACKEY,AV,,95125-1247,17108.000000000000000
126,LP,14729076,1.000000000000000,4876.000000000000000,751.544384837825191,116.654893099521757,MOUNTAIN VIEW,363,,CA,,ANNA,AV,,94043-4103,5010.000000000000000
131,LP,14722056,1.000000000000000,326552.000000000000000,783.085063780267319,119.975377302478790,MOUNTAIN VIEW,2485,,CA,,BETLO,AV,,94043-4105,5010.000000000000000
154,LP,43428118,1.000000000000000,114631.000000000000000,1649.006709178879191,200.826812899437698,SAN JOSE,1596,,CA,,CREEK,DR,,95125-1835,17108.000000000000000
167,LP,,0.000000000000000,321199.000000000000000,7950.219906100606750,412.903730492563284,,,,,,,,,,0.000000000000000
189,AP,43440026,1.000000000000000,483144.000000000000000,947.126009981945685,222.634904300598009,SAN JOSE,272,,CA,,SHADOW RUN,DR,,95110-3554,17193.000000000000000
203,AP,49719002,1.000000000000000,487390.000000000000000,567.510521705092401,104.245545005877972,SAN JOSE,3239,,CA,,KENHILL,DR,,95111-3254,17031.000000000000000
205,LP,12419103,1.000000000000000,177668.000000000000000,830.200252629424995,130.593642295572181,PALO ALTO,2180,,CA,,HIGH,ST,,94301-3927,6001.000000000000000
234,LP,72652038,1.000000000000000,413693.000000000000000,158.319062503279980,55.831624996970184,MORGAN HILL,17045,,CA,,SAINT CECILIA,LN,,95037,4002.000000000000000
236,LP,14824027,1.000000000000000,238815.000000000000000,77.309423862649027,39.699581387307390,MOUNTAIN VIEW,2009,,CA,,SHOWERS,DR,2,94040,5009.000000000000000
259,LP,14723052,1.000000000000000,117411.000000000000000,1025.010692811277750,129.920242884208847,MOUNTAIN VIEW,2455,,CA,,BENJAMIN,DR,,94043-2709,5010.000000000000000
273,AP,49721017,1.000000000000000,487838.000000000000000,725.288826936712326,117.073875691061062,SAN JOSE,245,,CA,,KENBROOK,CL,105,95111-3261,17031.000000000000000
360,LP,25938135,1.000000000000000,175916.000000000000000,202.643247256694963,113.266226655646363,SAN JOSE,58,,CA,S,AUTUMN,ST,,95110-2515,17213.000000000000000
380,LP,76708055,1.000000000000000,437926.000000000000000,306.966740538907572,73.783629747612608,MORGAN HILL,23,,CA,,HENCKEN OAKS,LN,,95037,4001.000000000000000
412,LP,16515062,1.000000000000000,70661.000000000000000,884.445555933077344,130.435751926413218,SUNNYVALE,135,,CA,,FLORENCE,ST,,94086-6004,9002.000000000000000
